id;defense;d_ship_id;battery;count;mass;cost;armored
1;Defense;6732;3405;14463;30943.58;32678.83;true
2;Meson;24228;621;11952;32435.21;8413.29;true
3;Triple;32040;19901;14553;21557.15;6086.81;false
4;Defense;32017;21621;4407;4107.89;20108.95;false
5;Defense;5231;14402;27537;14885.89;19729.29;false
6;Laser;18013;21874;19575;23774.67;7269.15;false
7;Defense;17905;12752;6759;10231.12;2335.32;true
8;Turret;12176;8067;9827;22372.05;17783.8;false
9;Armor;11467;30696;12046;31121.71;4676.17;true
10;Ablative;30110;2260;6889;15631.65;23047.13;false
