id;weapon;w_ship_id;battery;count;mass;cost;armored
1;Missile;1861;3060;20224;18890.54;15395.01;true
2;Launcher;30152;6391;25463;22519.58;6288.61;true
3;Gun;25010;13947;10052;12702.77;6959.71;false
4;Beam;24624;16378;18984;6871.45;24433.49;false
5;Triple;14342;9958;28631;15796.28;6126.48;true
6;Pulse;2927;5186;31784;17543.67;11465.64;false
7;Spinal;19649;6979;17398;523.88;14458.24;false
8;Fusion;20993;11299;5468;28694.71;16650.71;false
9;Launcher;10010;2033;18497;3450.88;247.34;false
10;Spinal;24259;29945;27747;4386.92;6132.92;true
